datetime,Open,High,Low,Close,Volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,pivothigh,pivotlow,break_pivot_high,break_pivot_low,pivot_high_change,pivot_low_change,rebreak_high,rebreak_low,Equity
2021-01-01 00:00:00,28948.19,29546.42,28706.0,29302.11,43210.161,2021-01-01 03:59:59.999,1263866286.41699,309298.0,21852.599,639328184.27201,0,,,0,0,0,0,0,0,100000.0
2021-01-01 04:00:00,29302.11,29422.32,28822.0,29107.71,26682.086,2021-01-01 07:59:59.999,777637669.87912,200179.0,11772.871,343245686.28692,0,,,0,0,0,0,0,0,100000.0
2021-01-01 08:00:00,29107.72,29454.45,28900.0,29341.99,29562.63,2021-01-01 11:59:59.999,863451120.35368,226389.0,14611.792,427017709.91943,0,,,0,0,0,0,0,0,100000.0
2021-01-01 12:00:00,29342.0,29668.86,29043.75,29210.84,49142.952,2021-01-01 15:59:59.999,1443531477.76555,324694.0,23957.859,704020630.83545,0,,,0,0,0,0,0,0,100000.0
2021-01-01 16:00:00,29210.85,29388.1,28627.12,29048.47,43668.17,2021-01-01 19:59:59.999,1270055828.6182,285496.0,20013.294,582409167.03692,0,,,0,0,0,0,0,0,100000.0
2021-01-01 20:00:00,29048.48,29350.0,28886.37,29337.16,18450.399,2021-01-01 23:59:59.999,538962641.05157,165737.0,9039.487,264154209.27135,0,,,0,0,0,0,0,0,100000.0
2021-01-02 00:00:00,29337.15,29500.0,28958.24,29364.67,29426.166,2021-01-02 03:59:59.999,861354325.57461,219537.0,14374.003,420910837.89948,0,,,0,0,0,0,0,0,100000.0
2021-01-02 04:00:00,29364.68,29878.0,29230.0,29777.33,36908.714,2021-01-02 07:59:59.999,1093146543.54122,274510.0,19713.021,583986273.56519,0,,,0,0,0,0,0,0,100000.0
2021-01-02 08:00:00,29778.77,29950.0,29491.09,29775.52,44090.157,2021-01-02 11:59:59.999,1312125770.49034,308181.0,20810.36,619555487.90663,0,,,0,0,0,0,0,0,100000.0
2021-01-02 12:00:00,29775.0,31873.02,29759.68,31717.01,144214.429,2021-01-02 15:59:59.999,4461041602.1026,922073.0,75740.689,2342430928.188,0,,,0,0,0,0,0,0,100000.0
2021-01-02 16:00:00,31720.79,33480.0,31718.43,33115.41,153245.839,2021-01-02 19:59:59.999,5006294336.4312,943384.0,77522.676,2532753806.39472,0,,,0,0,0,0,0,0,100000.0
2021-01-02 20:00:00,33115.41,33146.49,30528.0,32199.91,137655.775,2021-01-02 23:59:59.999,4388976036.56613,846860.0,65227.714,2079327195.75492,0,,,0,0,0,0,0,0,100000.0
2021-01-03 00:00:00,32198.41,32928.16,32000.02,32601.49,40696.593,2021-01-03 03:59:59.999,1324664231.31055,318014.0,20046.174,652594689.28748,0,,,0,0,0,0,0,0,100000.0
2021-01-03 04:00:00,32601.49,34832.25,32472.0,34472.24,111294.252,2021-01-03 07:59:59.999,3779979671.32216,717782.0,58059.083,1971190077.23928,0,,,0,0,0,0,0,0,100000.0
2021-01-03 08:00:00,34476.0,34743.92,33457.0,34464.06,96700.107,2021-01-03 11:59:59.999,3301708739.23623,636282.0,46441.161,1586271096.40138,0,,,0,0,0,0,0,0,100000.0
2021-01-03 12:00:00,34464.07,34663.0,32826.35,33540.46,94643.927,2021-01-03 15:59:59.999,3200435577.8369,619657.0,44530.328,1506600877.43508,0,,,0,0,0,0,0,0,100000.0
2021-01-03 16:00:00,33538.81,33886.96,32400.0,32823.72,86004.342,2021-01-03 19:59:59.999,2837596318.03827,589565.0,40632.143,1340981206.70182,0,,,0,0,0,0,0,0,100000.0
2021-01-03 20:00:00,32823.72,33948.13,32703.33,33054.53,58147.768,2021-01-03 23:59:59.999,1944726873.78349,444007.0,29052.768,971727565.66263,0,,,0,0,0,0,0,0,100000.0
2021-01-04 00:00:00,33053.93,33647.69,32457.0,33562.22,46061.748,2021-01-04 03:59:59.999,1523241241.09891,362879.0,22538.084,745550593.3076,0,,,0,0,0,0,0,0,100000.0
2021-01-04 04:00:00,33562.23,33653.56,31692.1,32186.58,70760.005,2021-01-04 07:59:59.999,2317342657.08506,496457.0,33561.721,1099698482.90836,0,,,0,0,0,0,0,0,100000.0
2021-01-04 08:00:00,32187.38,32642.7,27800.0,30760.39,185511.509,2021-01-04 11:59:59.999,5646404035.02464,1157479.0,85269.936,2593527694.62802,0,,,0,0,0,0,0,0,100000.0
2021-01-04 12:00:00,30757.33,32190.01,30472.48,31758.38,90364.403,2021-01-04 15:59:59.999,2837395397.20354,635467.0,45065.668,1415463244.44587,0,,,0,0,0,0,0,0,100000.0
2021-01-04 16:00:00,31755.02,31940.0,30661.66,31689.27,71952.622,2021-01-04 19:59:59.999,2248876552.88376,504137.0,35594.199,1112917506.24123,0,,,0,0,0,0,0,0,100000.0
2021-01-04 20:00:00,31691.15,32075.19,30900.0,32031.07,41477.736,2021-01-04 23:59:59.999,1305935952.95711,314532.0,20917.591,659005388.87552,0,34472.24,,0,0,1,0,0,0,100000.0
2021-01-05 00:00:00,32029.55,32900.0,31155.17,31217.58,71235.479,2021-01-05 03:59:59.999,2298973483.34645,476539.0,33677.924,1088155573.53266,0,34472.24,,0,0,0,0,0,0,100000.0
2021-01-05 04:00:00,31218.96,31575.46,29900.0,30844.23,103862.061,2021-01-05 07:59:59.999,3204760711.51995,667177.0,51216.068,1581299099.0239,0,34472.24,30760.39,0,0,0,1,0,0,100000.0
